Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate,LastGameDate,DaysSinceLastGame,LastUpdateDate
Jarred Vanderbilt,26.6,LAL,Big,196.0,79.0,12.6,29.0,74.0,6.9,81.0,+4.4%,3.0,+5.1%,98.0,+9.7%,75.0,3.2,72.0,-5.7,72.0,-2.8%,64.0,+0.9%,84.0,-5.4%,11.0,6.9,2025-11-15,19.0,2025-12-04
Bruce Brown,29.2,DEN,Combo,177.0,29.0,-6.2,-9.0,19.0,-7.1,10.0,-6.0%,32.0,+1.0%,49.0,-0.5%,60.0,1.1,49.0,-0.9,71.0,-2.8%,28.0,-1.6%,33.0,+1.4%,52.0,-0.5,2025-12-01,2.0,2025-12-03
Duncan Robinson,31.5,DET,Wing,317.0,51.0,2.0,3.0,80.0,8.2,78.0,+3.9%,90.0,-3.6%,53.0,-0.1%,9.0,-7.5,23.0,6.2,39.0,+1.2%,1.0,-4.9%,88.0,-6.7%,27.0,3.2,2025-11-29,4.0,2025-12-03
Drew Eubanks,28.7,SAC,Big,157.0,85.0,15.7,32.0,76.0,7.3,84.0,+5.0%,52.0,-0.3%,33.0,-2.3%,62.0,1.6,81.0,-8.4,67.0,-2.0%,78.0,+2.0%,44.0,+0.4%,95.0,-10.6,2025-11-30,3.0,2025-12-03
Gary Trent Jr.,26.8,MIL,Wing,281.0,4.0,-22.1,-45.0,10.0,-10.5,25.0,-2.7%,7.0,+3.1%,70.0,+2.3%,39.0,-1.4,10.0,11.6,7.0,+6.6%,27.0,-1.7%,83.0,-5.0%,8.0,8.2,nan,,2025-12-03
Zion Williamson,25.3,NOP,Big,157.0,46.0,0.3,0.0,45.0,-0.2,71.0,+2.9%,16.0,+2.3%,63.0,+1.0%,96.0,9.8,48.0,-0.5,60.0,-1.4%,33.0,-1.4%,66.0,-2.4%,18.0,5.0,2025-11-29,5.0,2025-12-04
Ja Morant,26.2,MEM,Point,305.0,52.0,2.8,5.0,28.0,-5.1,28.0,-2.2%,54.0,-0.4%,73.0,+2.7%,33.0,-2.0,78.0,-7.9,33.0,+2.1%,72.0,+1.4%,70.0,-2.8%,43.0,0.9,2025-11-15,20.0,2025-12-05
RJ Barrett,25.4,TOR,Wing,325.0,9.0,-17.1,-35.0,21.0,-6.1,68.0,+2.6%,43.0,+0.2%,26.0,-3.1%,40.0,-1.3,11.0,11.0,1.0,+9.9%,41.0,-0.8%,57.0,-1.1%,88.0,-7.5,2025-11-23,11.0,2025-12-04
DeAndre Hunter,27.9,CLE,Wing,197.0,60.0,5.7,13.0,49.0,0.4,16.0,-4.3%,47.0,-0.0%,91.0,+6.3%,55.0,0.6,69.0,-5.3,56.0,-0.6%,24.0,-2.0%,89.0,-6.8%,61.0,-1.5,2025-12-01,2.0,2025-12-03
Jaxson Hayes,25.4,LAL,Big,127.0,59.0,5.3,13.0,47.0,0.1,44.0,-0.1%,71.0,-1.6%,62.0,+0.9%,42.0,-0.9,68.0,-5.2,61.0,-1.5%,8.0,-3.5%,98.0,-10.6%,28.0,3.0,2025-12-01,3.0,2025-12-04
