Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate,LastGameDate,DaysSinceLastGame,LastUpdateDate
Quentin Grimes,25.5,PHI,Wing,310.0,54.0,3.9,9.0,38.0,-1.6,29.0,-2.2%,39.0,+0.5%,30.0,-2.4%,92.0,7.9,70.0,-5.6,68.0,-2.2%,62.0,+0.8%,49.0,-0.0%,32.0,2.2,2025-11-30,4.0,2025-12-04
Day'Ron Sharpe,24.0,BKN,Big,143.0,22.0,-9.5,-9.0,3.0,-18.9,5.0,-7.4%,1.0,+6.0%,76.0,+3.4%,48.0,-0.3,86.0,-9.4,54.0,-0.3%,85.0,+2.7%,84.0,-5.4%,8.0,8.2,2025-12-01,2.0,2025-12-03
Santi Aldama,24.8,MEM,Forward,279.0,48.0,1.0,3.0,68.0,5.6,77.0,+3.5%,8.0,+3.1%,59.0,+0.5%,73.0,2.9,31.0,4.6,59.0,-1.3%,22.0,-2.0%,64.0,-2.2%,13.0,6.2,2025-12-02,3.0,2025-12-05
Herbert Jones,27.1,NOP,Wing,271.0,95.0,22.4,27.0,74.0,6.8,83.0,+4.7%,77.0,-1.9%,20.0,-3.8%,2.0,-10.5,94.0,-15.7,30.0,+2.4%,84.0,+2.5%,99.0,-11.3%,77.0,-4.3,2025-11-21,13.0,2025-12-04
Miles McBride,25.1,NYK,Combo,157.0,63.0,6.6,11.0,83.0,8.7,63.0,+2.0%,78.0,-2.0%,85.0,+5.2%,90.0,6.9,39.0,2.1,30.0,+2.5%,65.0,+1.0%,54.0,-0.6%,29.0,2.8,2025-12-02,1.0,2025-12-03
Ayo Dosunmu,25.8,CHI,Wing,173.0,78.0,12.4,28.0,91.0,12.4,75.0,+3.3%,26.0,+1.5%,86.0,+5.3%,94.0,8.8,46.0,-0.0,37.0,+1.5%,43.0,-0.6%,48.0,+0.2%,47.0,0.2,2025-12-01,2.0,2025-12-03
Neemias Queta,26.3,BOS,Big,262.0,99.0,30.2,59.0,65.0,5.1,63.0,+1.8%,52.0,-0.2%,71.0,+2.4%,53.0,0.3,99.0,-25.1,99.0,-11.4%,88.0,+3.2%,43.0,+0.5%,93.0,-9.2,2025-12-02,2.0,2025-12-04
Luka Garza,26.8,BOS,Big,132.0,4.0,-21.8,-46.0,16.0,-8.1,21.0,-3.6%,32.0,+1.0%,49.0,-0.5%,15.0,-5.1,7.0,13.7,5.0,+7.0%,21.0,-2.0%,79.0,-4.4%,46.0,0.6,2025-11-29,5.0,2025-12-04
Sandro Mamukelashvili,26.4,TOR,Big,175.0,91.0,19.3,40.0,48.0,0.3,39.0,-0.9%,50.0,-0.2%,36.0,-2.1%,26.0,-2.9,98.0,-19.0,99.0,-11.7%,96.0,+4.8%,45.0,+0.3%,1.0,11.1,2025-12-02,2.0,2025-12-04
Aaron Wiggins,26.8,OKC,Wing,241.0,64.0,6.9,9.0,54.0,1.9,61.0,+1.5%,5.0,+3.9%,86.0,+5.3%,48.0,-0.3,67.0,-5.0,51.0,-0.0%,85.0,+2.7%,38.0,+1.1%,57.0,-1.1,2025-12-02,3.0,2025-12-05
Jock Landale,30.0,MEM,Big,271.0,50.0,1.9,3.0,33.0,-3.5,22.0,-3.5%,51.0,-0.2%,78.0,+3.8%,23.0,-3.4,70.0,-5.4,29.0,+2.7%,92.0,+4.0%,30.0,+1.8%,85.0,-6.0,2025-12-02,3.0,2025-12-05
Austin Reaves,27.4,LAL,Combo,264.0,84.0,15.0,34.0,90.0,12.0,74.0,+3.1%,74.0,-1.7%,68.0,+1.9%,76.0,3.3,61.0,-3.1,53.0,-0.2%,80.0,+2.1%,39.0,+1.0%,77.0,-4.2,2025-12-01,3.0,2025-12-04
Cameron Thomas,24.1,BKN,Combo,226.0,58.0,5.1,5.0,57.0,2.4,32.0,-1.8%,94.0,-4.4%,12.0,-5.6%,86.0,5.4,58.0,-2.7,72.0,-2.8%,32.0,-1.5%,31.0,+1.7%,28.0,3.0,2025-11-05,28.0,2025-12-03
Sam Hauser,27.9,BOS,Forward,242.0,36.0,-4.0,-10.0,52.0,1.6,65.0,+2.3%,33.0,+1.0%,9.0,-6.3%,24.0,-3.3,26.0,5.7,28.0,+2.8%,26.0,-1.8%,65.0,-2.3%,13.0,6.3,2025-12-02,2.0,2025-12-04
Trey Murphy III,25.4,NOP,Wing,318.0,28.0,-6.4,-12.0,7.0,-12.3,51.0,+0.4%,20.0,+1.9%,44.0,-1.1%,4.0,-9.8,73.0,-6.0,41.0,+0.9%,99.0,+5.7%,74.0,-3.3%,50.0,-0.1,2025-12-02,2.0,2025-12-04
Jose Alvarado,27.6,NOP,Point,143.0,68.0,8.5,14.0,75.0,6.9,59.0,+1.4%,84.0,-2.8%,35.0,-2.1%,95.0,9.4,52.0,-1.5,68.0,-2.4%,47.0,-0.5%,67.0,-2.6%,65.0,-2.4,2025-12-02,2.0,2025-12-04
Trendon Watford,25.0,PHI,Big,158.0,82.0,13.6,29.0,62.0,3.4,50.0,+0.2%,30.0,+1.3%,93.0,+7.0%,22.0,-3.5,87.0,-10.2,84.0,-4.3%,43.0,-0.7%,86.0,-5.7%,58.0,-1.1,2025-11-25,9.0,2025-12-04
Jay Huff,28.2,IND,Big,140.0,32.0,-4.8,-9.0,8.0,-11.6,11.0,-5.8%,37.0,+0.6%,21.0,-3.7%,64.0,1.7,77.0,-6.8,82.0,-4.0%,57.0,+0.3%,51.0,-0.2%,53.0,-0.6,2025-12-01,2.0,2025-12-03
Dru Smith,27.8,MIA,Point,167.0,93.0,20.3,35.0,87.0,9.7,88.0,+6.1%,16.0,+2.3%,95.0,+7.9%,63.0,1.7,87.0,-10.6,96.0,-9.0%,65.0,+1.0%,25.0,+2.7%,10.0,7.3,2025-12-01,2.0,2025-12-03
Brandon Williams,25.9,DAL,Point,127.0,89.0,17.5,42.0,65.0,4.8,45.0,-0.0%,86.0,-3.0%,90.0,+6.0%,60.0,1.1,91.0,-12.6,90.0,-5.6%,97.0,+5.0%,16.0,+5.0%,54.0,-0.8,nan,,2025-12-03
Paolo Banchero,23.0,ORL,Forward,346.0,93.0,20.0,40.0,88.0,10.9,93.0,+7.4%,10.0,+3.0%,41.0,-1.5%,84.0,5.0,84.0,-9.1,75.0,-3.1%,48.0,-0.4%,90.0,-7.2%,20.0,4.5,2025-11-12,21.0,2025-12-03
Chet Holmgren,23.5,OKC,Big,217.0,68.0,8.3,10.0,69.0,5.8,83.0,+4.7%,15.0,+2.3%,74.0,+2.8%,57.0,0.8,57.0,-2.5,38.0,+1.2%,21.0,-2.0%,92.0,-7.6%,71.0,-3.3,2025-12-02,3.0,2025-12-05
Jabari Smith Jr.,22.5,HOU,Forward,263.0,70.0,8.9,15.0,79.0,8.0,97.0,+8.8%,60.0,-0.8%,9.0,-6.3%,91.0,6.9,49.0,-0.9,83.0,-4.2%,49.0,-0.3%,37.0,+1.1%,14.0,5.4,nan,,2025-12-03
Shaedon Sharpe,22.4,POR,Combo,240.0,80.0,12.9,31.0,43.0,-0.9,20.0,-3.6%,22.0,+1.8%,99.0,+10.3%,35.0,-1.8,91.0,-13.8,84.0,-4.3%,36.0,-1.1%,93.0,-8.1%,70.0,-3.2,2025-12-02,1.0,2025-12-03
Dyson Daniels,22.6,ATL,Wing,326.0,80.0,12.9,31.0,97.0,19.0,89.0,+6.4%,100.0,-7.3%,41.0,-1.6%,55.0,0.5,24.0,6.1,8.0,+6.2%,96.0,+4.8%,17.0,+4.5%,33.0,2.2,2025-12-01,2.0,2025-12-03
Jalen Duren,22.0,DET,Big,278.0,88.0,17.3,37.0,88.0,10.3,78.0,+3.7%,56.0,-0.5%,91.0,+6.6%,38.0,-1.5,77.0,-7.0,77.0,-3.2%,41.0,-0.7%,42.0,+0.6%,94.0,-9.6,2025-12-01,2.0,2025-12-03
Ochai Agbaji,25.5,TOR,Wing,117.0,72.0,9.5,21.0,59.0,2.8,71.0,+3.0%,7.0,+3.2%,76.0,+3.3%,25.0,-3.0,77.0,-6.7,77.0,-3.2%,14.0,-2.6%,81.0,-4.6%,55.0,-0.9,2025-12-02,2.0,2025-12-04
Mark Williams,23.9,PHX,Big,230.0,100.0,32.8,62.0,96.0,16.1,75.0,+3.4%,93.0,-3.9%,32.0,-2.3%,94.0,8.7,95.0,-16.7,80.0,-3.7%,77.0,+1.8%,98.0,-11.0%,57.0,-1.1,2025-12-01,4.0,2025-12-05
Tari Eason,24.5,HOU,Wing,222.0,25.0,-8.2,-12.0,6.0,-13.4,6.0,-7.0%,29.0,+1.3%,51.0,-0.4%,25.0,-3.0,68.0,-5.2,55.0,-0.6%,35.0,-1.2%,100.0,-13.3%,2.0,11.0,2025-11-14,19.0,2025-12-03
Jake LaRavia,24.0,LAL,Wing,294.0,12.0,-14.9,-33.0,17.0,-7.6,24.0,-2.8%,70.0,-1.6%,57.0,+0.3%,5.0,-8.8,20.0,7.3,24.0,+3.3%,77.0,+1.9%,32.0,+1.6%,41.0,1.1,2025-12-01,3.0,2025-12-04
Christian Braun,24.5,DEN,Wing,277.0,79.0,12.7,21.0,87.0,9.7,88.0,+6.1%,21.0,+1.9%,48.0,-0.6%,62.0,1.7,60.0,-3.0,40.0,+1.1%,89.0,+3.2%,41.0,+0.8%,68.0,-3.0,2025-11-12,21.0,2025-12-03
Walker Kessler,24.3,UTA,Big,152.0,91.0,19.4,42.0,96.0,17.1,95.0,+7.8%,53.0,-0.3%,81.0,+4.2%,88.0,6.0,56.0,-2.3,81.0,-3.7%,66.0,+1.0%,5.0,+8.0%,65.0,-2.1,2025-10-31,34.0,2025-12-04
Nikola Jovic,22.4,MIA,Forward,209.0,81.0,12.9,26.0,56.0,2.3,62.0,+1.7%,19.0,+2.0%,61.0,+0.8%,95.0,9.1,88.0,-10.6,95.0,-7.7%,90.0,+3.5%,17.0,+4.4%,28.0,3.0,2025-12-01,2.0,2025-12-03
Peyton Watson,23.1,DEN,Forward,184.0,29.0,-6.2,-11.0,79.0,8.0,80.0,+4.2%,30.0,+1.2%,92.0,+6.8%,88.0,5.8,5.0,14.2,9.0,+5.9%,83.0,+2.4%,3.0,+8.5%,38.0,1.4,2025-12-01,2.0,2025-12-03
Jaylin Williams,23.3,OKC,Big,178.0,23.0,-9.2,-13.0,19.0,-6.9,15.0,-4.5%,82.0,-2.5%,1.0,-12.5%,78.0,3.9,39.0,2.3,91.0,-5.8%,40.0,-0.8%,14.0,+5.2%,16.0,5.1,2025-12-02,3.0,2025-12-05
Max Christie,22.7,DAL,Wing,298.0,83.0,14.4,31.0,98.0,20.5,98.0,+9.1%,75.0,-1.9%,20.0,-4.1%,76.0,3.5,25.0,6.1,36.0,+1.6%,29.0,-1.6%,40.0,+0.8%,33.0,2.0,2025-12-01,2.0,2025-12-03
Moussa Diabate,23.8,CHA,Big,176.0,27.0,-7.1,-16.0,50.0,0.7,19.0,-3.8%,23.0,+1.7%,99.0,+10.5%,87.0,5.4,18.0,7.9,12.0,+5.6%,91.0,+3.7%,62.0,-1.9%,3.0,10.4,2025-12-01,2.0,2025-12-03
Ryan Rollins,23.3,MIL,Combo,307.0,41.0,-2.1,-5.0,64.0,4.2,55.0,+0.9%,80.0,-2.1%,36.0,-2.0%,51.0,0.2,22.0,6.3,42.0,+0.8%,46.0,-0.5%,46.0,+0.3%,23.0,3.7,2025-12-01,2.0,2025-12-03
Josh Minott,22.9,BOS,Big,211.0,55.0,4.6,11.0,47.0,0.0,31.0,-1.9%,68.0,-1.3%,95.0,+7.8%,49.0,-0.2,66.0,-4.5,59.0,-1.2%,55.0,+0.0%,80.0,-4.6%,96.0,-11.2,2025-12-02,2.0,2025-12-04
Tyrese Martin,26.7,BKN,Combo,204.0,74.0,10.5,9.0,38.0,-1.8,28.0,-2.2%,51.0,-0.2%,94.0,+7.7%,30.0,-2.4,90.0,-12.3,72.0,-2.9%,93.0,+4.0%,77.0,-4.0%,48.0,0.1,2025-12-01,2.0,2025-12-03
Jabari Walker,23.3,PHI,Forward,133.0,32.0,-5.5,-13.0,53.0,1.7,77.0,+3.5%,21.0,+1.8%,90.0,+6.0%,3.0,-10.4,20.0,7.2,6.0,+6.7%,90.0,+3.5%,34.0,+1.4%,41.0,1.0,2025-12-02,2.0,2025-12-04
Quenton Jackson,27.1,IND,Combo,100.0,99.0,32.2,63.0,94.0,14.2,84.0,+5.2%,67.0,-1.3%,72.0,+2.6%,97.0,11.0,96.0,-18.0,70.0,-2.6%,100.0,+6.3%,59.0,-1.3%,99.0,-13.2,2025-11-03,30.0,2025-12-03
AJ Green,26.1,MIL,Wing,276.0,76.0,11.1,26.0,95.0,14.5,90.0,+6.5%,48.0,-0.1%,77.0,+3.8%,89.0,6.1,35.0,3.4,26.0,+3.1%,63.0,+0.9%,26.0,+2.5%,46.0,0.7,2025-12-01,2.0,2025-12-03
Simone Fontecchio,29.9,MIA,Big,183.0,74.0,10.0,19.0,64.0,4.2,72.0,+3.0%,6.0,+3.7%,96.0,+8.2%,54.0,0.5,71.0,-5.7,87.0,-5.2%,53.0,-0.1%,41.0,+0.8%,29.0,2.9,2025-12-01,2.0,2025-12-03
Julian Champagnie,24.3,SAS,Wing,265.0,64.0,6.7,14.0,72.0,6.5,75.0,+3.5%,54.0,-0.4%,23.0,-3.5%,83.0,4.6,48.0,-0.2,39.0,+1.1%,38.0,-0.9%,57.0,-1.1%,86.0,-6.3,2025-12-02,1.0,2025-12-03
Collin Gillespie,26.4,PHX,Point,238.0,31.0,-5.7,-14.0,43.0,-0.9,58.0,+1.3%,24.0,+1.6%,70.0,+2.3%,9.0,-7.5,30.0,4.9,49.0,+0.1%,23.0,-2.0%,10.0,+5.7%,56.0,-0.9,2025-12-01,4.0,2025-12-05
Keon Ellis,25.8,SAC,Wing,169.0,69.0,8.6,17.0,58.0,2.6,54.0,+0.8%,46.0,0.0%,25.0,-3.2%,80.0,4.4,73.0,-5.9,43.0,+0.7%,99.0,+5.7%,29.0,+1.8%,73.0,-3.6,2025-11-30,3.0,2025-12-03
Keaton Wallace,26.7,ATL,Point,125.0,71.0,9.1,23.0,20.0,-6.4,29.0,-2.1%,29.0,+1.4%,56.0,+0.3%,14.0,-5.3,94.0,-15.5,86.0,-5.0%,12.0,-2.9%,96.0,-9.2%,49.0,0.0,2025-12-01,2.0,2025-12-03
Victor Wembanyama,21.8,SAS,Big,305.0,94.0,21.0,45.0,15.0,-8.4,42.0,-0.4%,15.0,+2.3%,29.0,-2.6%,54.0,0.3,100.0,-29.4,99.0,-11.7%,41.0,-0.7%,97.0,-9.4%,54.0,-0.8,2025-11-14,19.0,2025-12-03
Amen Thompson,22.8,HOU,Combo,319.0,57.0,4.9,9.0,51.0,0.9,58.0,+1.3%,86.0,-2.9%,22.0,-3.5%,17.0,-4.5,64.0,-4.0,97.0,-9.3%,14.0,-2.6%,1.0,+9.8%,42.0,1.0,2025-12-01,2.0,2025-12-03
Ausar Thompson,22.8,DET,Wing,288.0,60.0,5.7,12.0,64.0,4.1,85.0,+5.2%,39.0,+0.5%,75.0,+3.2%,21.0,-3.7,53.0,-1.6,23.0,+3.4%,27.0,-1.7%,67.0,-2.5%,99.0,-13.9,2025-12-01,2.0,2025-12-03
Anthony Black,21.8,ORL,Wing,261.0,20.0,-10.1,-24.0,66.0,5.2,70.0,+2.9%,83.0,-2.7%,47.0,-0.8%,37.0,-1.5,4.0,15.2,17.0,+4.7%,9.0,-3.4%,34.0,+1.4%,79.0,-4.7,2025-12-01,2.0,2025-12-03
Jarace Walker,22.2,IND,Wing,297.0,66.0,7.4,13.0,91.0,12.1,98.0,+8.9%,72.0,-1.7%,38.0,-1.9%,27.0,-2.6,30.0,4.7,29.0,+2.7%,52.0,-0.1%,11.0,+5.7%,66.0,-2.5,2025-12-01,2.0,2025-12-03
Taylor Hendricks,21.9,UTA,Wing,138.0,49.0,1.3,1.0,12.0,-9.9,19.0,-3.8%,22.0,+1.8%,52.0,-0.2%,0.0,-11.4,89.0,-11.1,88.0,-5.4%,34.0,-1.3%,86.0,-6.1%,60.0,-1.2,2025-11-23,11.0,2025-12-04
Cason Wallace,22.0,OKC,Wing,300.0,30.0,-5.9,-8.0,37.0,-1.9,57.0,+1.1%,38.0,+0.6%,72.0,+2.6%,19.0,-4.2,33.0,4.0,16.0,+4.8%,61.0,+0.7%,22.0,+3.4%,87.0,-6.8,2025-12-02,3.0,2025-12-05
Gradey Dick,21.9,TOR,Wing,144.0,99.0,30.4,52.0,73.0,6.7,51.0,+0.3%,62.0,-1.1%,65.0,+1.7%,85.0,5.1,99.0,-23.7,97.0,-9.9%,86.0,+2.8%,93.0,-8.3%,30.0,2.7,2025-12-02,2.0,2025-12-04
Jordan Hawkins,23.5,NOP,Wing,103.0,51.0,2.7,5.0,68.0,5.4,70.0,+2.8%,42.0,+0.3%,57.0,+0.3%,51.0,0.2,37.0,2.7,90.0,-5.5%,7.0,-3.7%,1.0,+9.6%,74.0,-3.7,2025-12-02,2.0,2025-12-04
Keyonte George,22.0,UTA,Combo,302.0,53.0,3.1,8.0,90.0,11.9,69.0,+2.8%,95.0,-4.6%,13.0,-5.4%,99.0,13.3,16.0,8.8,32.0,+2.3%,58.0,+0.3%,0.0,+10.0%,67.0,-2.6,2025-12-01,3.0,2025-12-04
Jaime Jaquez Jr.,24.7,MIA,Wing,290.0,100.0,33.9,62.0,77.0,7.7,53.0,+0.7%,35.0,+0.8%,94.0,+7.4%,74.0,3.0,99.0,-26.2,100.0,-13.3%,95.0,+4.5%,51.0,-0.3%,43.0,0.9,2025-12-01,2.0,2025-12-03
Brandin Podziemski,22.7,GSW,Combo,315.0,75.0,10.9,26.0,39.0,-1.3,34.0,-1.5%,88.0,-3.2%,22.0,-3.6%,46.0,-0.5,90.0,-12.2,38.0,+1.4%,62.0,+0.8%,94.0,-8.6%,73.0,-3.7,2025-12-02,2.0,2025-12-04
Cam Whitmore,21.3,WAS,Forward,153.0,50.0,2.0,2.0,39.0,-1.5,36.0,-1.4%,51.0,-0.2%,57.0,+0.3%,46.0,-0.4,62.0,-3.4,58.0,-1.2%,73.0,+1.4%,38.0,+1.0%,45.0,0.8,2025-12-02,2.0,2025-12-04
Noah Clowney,21.3,BKN,Big,232.0,73.0,9.8,10.0,95.0,14.8,76.0,+3.5%,79.0,-2.0%,80.0,+4.0%,99.0,12.7,29.0,5.0,16.0,+4.8%,57.0,+0.2%,73.0,-3.3%,75.0,-3.8,2025-12-01,2.0,2025-12-03
Kris Murray,25.2,POR,Wing,172.0,24.0,-9.0,-22.0,50.0,0.5,34.0,-1.5%,72.0,-1.6%,49.0,-0.5%,42.0,-0.8,15.0,9.5,28.0,+2.8%,4.0,-4.1%,66.0,-2.3%,32.0,2.3,2025-12-02,1.0,2025-12-03
Ben Sheppard,24.3,IND,Combo,264.0,16.0,-12.7,-21.0,35.0,-2.9,38.0,-1.1%,55.0,-0.5%,54.0,-0.1%,14.0,-5.2,14.0,9.8,10.0,+5.9%,0.0,-5.3%,83.0,-5.2%,37.0,1.6,2025-12-01,2.0,2025-12-03
Brice Sensabaugh,22.0,UTA,Wing,100.0,15.0,-13.6,-24.0,15.0,-8.1,54.0,+0.8%,31.0,+1.0%,3.0,-9.4%,50.0,-0.1,27.0,5.5,46.0,+0.4%,55.0,+0.0%,89.0,-6.8%,2.0,11.1,2025-12-01,3.0,2025-12-04
Mouhamed Gueye,23.0,ATL,Big,172.0,89.0,17.6,40.0,74.0,6.7,96.0,+8.4%,13.0,+2.6%,45.0,-1.1%,13.0,-5.8,88.0,-10.9,84.0,-4.3%,76.0,+1.8%,81.0,-4.6%,76.0,-4.1,2025-12-01,2.0,2025-12-03
Jalen Wilson,25.0,BKN,Wing,141.0,36.0,-4.0,-4.0,32.0,-3.5,26.0,-2.6%,59.0,-0.7%,67.0,+1.8%,28.0,-2.6,45.0,0.5,75.0,-3.1%,64.0,+0.9%,26.0,+2.6%,38.0,1.5,2025-11-29,4.0,2025-12-03
Toumani Camara,25.5,POR,Wing,302.0,28.0,-6.4,-15.0,23.0,-5.8,65.0,+2.2%,14.0,+2.6%,31.0,-2.4%,32.0,-2.2,44.0,0.6,57.0,-0.8%,28.0,-1.7%,44.0,+0.4%,39.0,1.3,2025-12-02,1.0,2025-12-03
Jaylen Clark,24.1,MIN,Wing,128.0,76.0,11.2,20.0,72.0,6.5,53.0,+0.7%,46.0,0.0%,96.0,+8.4%,78.0,3.9,66.0,-4.6,85.0,-4.8%,84.0,+2.5%,26.0,+2.5%,32.0,2.3,2025-12-02,2.0,2025-12-04
Craig Porter,25.7,CLE,Point,151.0,14.0,-13.8,-32.0,24.0,-5.6,40.0,-0.8%,10.0,+2.9%,58.0,+0.4%,38.0,-1.5,17.0,8.2,3.0,+7.9%,94.0,+4.2%,18.0,+4.3%,50.0,-0.2,2025-12-01,2.0,2025-12-03
Zaccharie Risacher,20.6,ATL,Wing,196.0,87.0,16.3,38.0,87.0,9.8,46.0,-0.0%,82.0,-2.6%,84.0,+5.2%,61.0,1.2,76.0,-6.4,35.0,+2.0%,57.0,+0.2%,87.0,-6.3%,72.0,-3.5,2025-12-01,2.0,2025-12-03
Alex Sarr,20.5,WAS,Big,282.0,62.0,5.8,7.0,86.0,9.2,94.0,+7.5%,32.0,+1.0%,73.0,+2.8%,29.0,-2.5,35.0,3.5,34.0,+2.1%,49.0,-0.3%,19.0,+4.2%,97.0,-11.7,2025-11-28,6.0,2025-12-04
Reed Sheppard,21.4,HOU,Point,185.0,17.0,-11.8,-20.0,13.0,-9.2,15.0,-4.4%,3.0,+4.8%,77.0,+3.6%,5.0,-8.8,38.0,2.6,20.0,+3.9%,19.0,-2.1%,60.0,-1.6%,94.0,-9.6,2025-12-01,2.0,2025-12-03
Stephon Castle,21.0,SAS,Combo,300.0,65.0,6.9,17.0,4.0,-15.2,32.0,-1.8%,9.0,+3.0%,0.0,-14.2%,47.0,-0.4,98.0,-22.1,79.0,-3.4%,97.0,+5.1%,47.0,+0.2%,89.0,-7.9,2025-11-16,17.0,2025-12-03
Ronald Holland II,20.3,DET,Wing,224.0,52.0,2.7,6.0,48.0,0.1,36.0,-1.4%,28.0,+1.5%,12.0,-5.7%,65.0,1.9,57.0,-2.6,66.0,-1.9%,93.0,+4.2%,23.0,+3.0%,0.0,13.5,2025-12-03,2.0,2025-12-05
Donovan Clingan,21.7,POR,Big,215.0,39.0,-2.7,-6.0,2.0,-19.5,3.0,-8.2%,0.0,+6.1%,98.0,+9.5%,16.0,-5.0,95.0,-16.8,94.0,-6.6%,70.0,+1.2%,91.0,-7.6%,98.0,-12.0,2025-12-02,1.0,2025-12-03
Matas Buzelis,21.1,CHI,Forward,256.0,62.0,6.0,15.0,34.0,-2.9,36.0,-1.3%,52.0,-0.3%,64.0,+1.1%,39.0,-1.4,83.0,-8.9,62.0,-1.7%,64.0,+0.9%,84.0,-5.4%,36.0,1.8,2025-12-01,2.0,2025-12-03
Bub Carrington,20.3,WAS,Point,272.0,12.0,-14.6,-20.0,10.0,-10.3,22.0,-3.2%,27.0,+1.5%,21.0,-3.7%,52.0,0.2,32.0,4.3,29.0,+2.7%,37.0,-1.0%,56.0,-1.1%,72.0,-3.4,2025-12-02,2.0,2025-12-04
Kel'el Ware,21.5,MIA,Big,208.0,0.0,-30.6,-57.0,7.0,-12.1,25.0,-2.7%,31.0,+1.1%,68.0,+1.9%,2.0,-10.4,2.0,18.5,11.0,+5.8%,1.0,-4.5%,12.0,+5.6%,61.0,-1.4,2025-12-01,2.0,2025-12-03
Dalton Knecht,24.5,LAL,Wing,163.0,7.0,-17.8,-40.0,4.0,-14.9,3.0,-8.0%,17.0,+2.2%,27.0,-3.0%,41.0,-1.0,37.0,2.9,90.0,-5.5%,56.0,+0.2%,0.0,+12.6%,15.0,5.3,2025-12-01,3.0,2025-12-04
Tristan da Silva,24.5,ORL,Wing,200.0,83.0,14.5,34.0,85.0,9.0,56.0,+1.0%,99.0,-6.0%,55.0,+0.0%,56.0,0.6,70.0,-5.4,77.0,-3.2%,97.0,+4.9%,4.0,+8.4%,92.0,-8.8,2025-12-03,2.0,2025-12-05
Jaylon Tyson,22.9,CLE,Wing,240.0,46.0,0.2,0.0,51.0,1.2,41.0,-0.5%,49.0,-0.1%,93.0,+7.1%,1.0,-10.7,43.0,1.0,75.0,-3.0%,77.0,+1.9%,6.0,+8.0%,30.0,2.7,2025-12-01,2.0,2025-12-03
Yves Missi,21.5,NOP,Big,116.0,58.0,5.0,9.0,81.0,8.2,86.0,+5.5%,35.0,+0.8%,80.0,+4.1%,22.0,-3.7,35.0,3.2,10.0,+5.8%,48.0,-0.4%,90.0,-7.1%,60.0,-1.4,2025-11-30,4.0,2025-12-04
Kyshawn George,21.9,WAS,Wing,273.0,49.0,1.1,0.0,17.0,-7.5,60.0,+1.5%,12.0,+2.7%,7.0,-6.5%,4.0,-9.4,83.0,-8.7,51.0,-0.1%,78.0,+2.0%,86.0,-5.8%,90.0,-8.2,2025-12-02,2.0,2025-12-04
Terrence Shannon Jr.,25.3,MIN,Wing,109.0,1.0,-29.9,-58.0,3.0,-16.1,5.0,-7.5%,2.0,+5.1%,69.0,+2.2%,57.0,0.6,6.0,13.8,3.0,+8.2%,67.0,+1.1%,38.0,+1.0%,1.0,11.2,2025-12-02,2.0,2025-12-04
Ryan Dunn,22.8,PHX,Forward,244.0,75.0,10.7,26.0,70.0,6.0,43.0,-0.2%,88.0,-3.2%,52.0,-0.2%,28.0,-2.6,67.0,-4.7,67.0,-2.1%,75.0,+1.7%,36.0,+1.2%,80.0,-4.9,2025-12-01,4.0,2025-12-05
Kyle Filipowski,22.0,UTA,Big,163.0,71.0,9.0,20.0,75.0,7.1,73.0,+3.1%,48.0,-0.1%,89.0,+6.0%,12.0,-5.9,54.0,-1.9,47.0,+0.3%,68.0,+1.1%,45.0,+0.3%,65.0,-2.4,2025-12-01,3.0,2025-12-04
Ajay Mitchell,23.4,OKC,Combo,293.0,67.0,7.8,12.0,36.0,-2.1,49.0,+0.2%,23.0,+1.7%,43.0,-1.3%,84.0,5.0,86.0,-9.9,66.0,-2.0%,40.0,-0.8%,97.0,-9.3%,75.0,-3.9,2025-12-02,3.0,2025-12-05
Jaylen Wells,22.2,MEM,Wing,274.0,34.0,-4.5,-9.0,55.0,1.9,59.0,+1.3%,84.0,-2.7%,70.0,+2.4%,7.0,-8.5,22.0,6.3,19.0,+4.2%,15.0,-2.6%,58.0,-1.2%,16.0,5.2,2025-12-02,3.0,2025-12-05
Oso Ighodaro,23.3,PHX,Big,157.0,3.0,-23.2,-49.0,1.0,-21.3,14.0,-4.5%,10.0,+2.9%,19.0,-4.1%,7.0,-8.2,40.0,1.8,70.0,-2.5%,51.0,-0.2%,18.0,+4.3%,40.0,1.2,2025-12-01,4.0,2025-12-05
Adem Bona,22.6,PHI,Big,153.0,19.0,-10.8,-25.0,6.0,-13.5,8.0,-6.3%,4.0,+4.2%,50.0,-0.4%,78.0,3.8,58.0,-2.7,73.0,-2.9%,91.0,+3.7%,3.0,+8.5%,44.0,0.8,2025-12-02,2.0,2025-12-04
